name,address,lat,lng,kreis,district,group,size
Migros-Supermarkt - Zürich - Altstetten M-Express,"Hohlstrasse 600, 8048 Zürich, Schweiz",47.3913612,8.4877977,Kreis 9,Altstetten,migros_group,0.3
Denner Discount,"im OG, Altstetterstrasse 145, 8048 Zürich, Schweiz",47.3884662,8.486958999999999,Kreis 9,Altstetten,migros_group,1.0
Denner Discount,"Baslerstrasse 50, 8048 Zürich, Schweiz",47.385924800000005,8.499636299999999,Kreis 9,Altstetten,migros_group,1.0
Denner Discount,"Badenerstrasse 621, 8048 Zürich, Schweiz",47.3857711,8.492477599999999,Kreis 9,Altstetten,migros_group,1.0
Denner Express,"Lindenpl. 4, 8048 Zürich, Schweiz",47.3872504,8.4860262,Kreis 9,Altstetten,migros_group,0.3
Denner Discount,"Bachmattstrasse 59, 8048 Zürich, Schweiz",47.3890517,8.483677000000002,Kreis 9,Altstetten,migros_group,1.0
Denner Discount,"Hohlstrasse 610, 8048 Zürich, Schweiz",47.3920031,8.484871199999999,Kreis 9,Altstetten,migros_group,1.0
migrolino Hohlstrasse,"Hohlstrasse 544, 8048 Zürich, Schweiz",47.3904427,8.4911794,Kreis 9,Altstetten,migros_group,0.3
migrolino Zürich Farbhof,"Karstlernstrasse, Farbhof 2, 8048 Zürich, Schweiz",47.3904603,8.4789204,Kreis 9,Altstetten,migros_group,0.3
Coop Supermarkt Zürich Altstetten,"Badenerstrasse 650, 8048 Zürich, Schweiz",47.3875588,8.4890229,Kreis 9,Altstetten,competitors,1.0
Coop Supermarkt Zürich Lindenplatz,"Lindenpl. 6, 8048 Zürich, Schweiz",47.387638599999995,8.4853846,Kreis 9,Altstetten,competitors,1.0
Coop Supermarkt Zürich Westlink,"Vulkanpl., 8048 Zürich, Schweiz",47.3921018,8.4901313,Kreis 9,Altstetten,competitors,1.0
Coop Supermarkt Zürich Vulkanstrasse,"Vulkanstrasse 108, 8048 Zürich, Schweiz",47.3935497,8.4838483,Kreis 9,Altstetten,competitors,1.0
Coop Pronto Shop Zürich Hohlstrasse,"Hohlstrasse 560, 8048 Zürich, Schweiz",47.3909986,8.489169,Kreis 9,Altstetten,competitors,0.3
Coop Supermarkt Zürich Suteracher,"Am Suteracher 14, 8048 Zürich, Schweiz",47.389955,8.4720952,Kreis 9,Altstetten,competitors,1.0
Coop Pronto Shop Zürich-Altstetten,"Badenerstrasse 812, 8048 Zürich, Schweiz",47.3933164,8.474460500000001,Kreis 9,Altstetten,competitors,0.3
Coop Pronto Shop Zürich Kiss,"Badenerstrasse 575, 8048 Zürich, Schweiz",47.384631899999995,8.4957917,Kreis 9,Altstetten,competitors,0.3
SPAR Supermarkt Altstätten,"Bahnhofstrasse 48a, 9450 Altstätten, Schweiz",47.3753999,9.553075,Kreis 9,Altstetten,competitors,1.0
SPAR,"Spinnereipl. 2, 8041 Zürich, Schweiz",47.3383408,8.520264899999999,Kreis 9,Altstetten,competitors,1.0
SPAR Supermarkt Zürich Regensbergstrasse,"Regensbergstrasse 300, 8050 Zürich, Schweiz",47.4115648,8.5279289,Kreis 9,Altstetten,competitors,1.0
SPAR express,"Hardturmstrasse 126, 8005 Zürich, Schweiz",47.393554,8.5131344,Kreis 9,Altstetten,competitors,0.3
SPAR Supermarkt Zürich Dolderstrasse,"Dolderstrasse 5, 8032 Zürich, Schweiz",47.3703237,8.556849999999999,Kreis 9,Altstetten,competitors,1.0
Migros-Supermarkt - Zürich - Höschgasse,"Seefeldstrasse 111/113, 8008 Zürich, Schweiz",47.358365,8.5541587,Kreis 8,Seefeld,migros_group,1.0
Migros-Supermarkt - Zürich - Stadelhofen,"Falkenstrasse 19/21, 8008 Zürich, Schweiz",47.3654649,8.5479404,Kreis 8,Seefeld,migros_group,1.0
Denner Express,"Kreuzstrasse 40, 8008 Zürich, Schweiz",47.3633819,8.550430799999999,Kreis 8,Seefeld,migros_group,0.3
Denner Express,"Badenerstrasse 296, 8004 Zürich, Schweiz",47.3771472,8.5135021,Kreis 8,Seefeld,migros_group,0.3
Denner Discount,"Limmatstrasse 275, 8005 Zürich, Schweiz",47.3887665,8.5250706,Kreis 8,Seefeld,migros_group,1.0
Denner Express,"Forchstrasse 261, 8032 Zürich, Schweiz",47.358492,8.5721215,Kreis 8,Seefeld,migros_group,0.3
Denner Express,"Josefstrasse 92, 8005 Zürich, Schweiz",47.383201,8.5309636,Kreis 8,Seefeld,migros_group,0.3
Denner Discount,"Etzelstrasse 6, 8038 Zürich, Schweiz",47.3445223,8.5308077,Kreis 8,Seefeld,migros_group,1.0
migrolino Zürich Hornegg,"Horneggstrasse 3, 8008 Zürich, Schweiz",47.3522694,8.5586466,Kreis 8,Seefeld,migros_group,0.3
Coop Supermarkt Zürich Seefeld,"Seefeldstrasse 123, 8008 Zürich, Schweiz",47.3580373,8.5547665,Kreis 8,Seefeld,competitors,1.0
Coop Supermarkt Zürich Brotgasse,"Seefeldstrasse 35, 8008 Zürich, Schweiz",47.3631275,8.5498808,Kreis 8,Seefeld,competitors,1.0
Lidl Schweiz,"Eggstrasse 88, 8803 Rüschlikon, Schweiz",47.30349,8.54444,Kreis 8,Seefeld,competitors,1.0
Lidl Schweiz,"Zürichstrasse 127/131, 8600 Dübendorf, Schweiz",47.39586,8.59933,Kreis 8,Seefeld,competitors,1.0
Lidl Schweiz,"Neue Winterthurerstrasse 2, 8304 Wallisellen, Schweiz",47.41238,8.61366,Kreis 8,Seefeld,competitors,1.0
Lidl Schweiz,"Im Schörli 20, 8600 Dübendorf, Schweiz",47.39517,8.63865,Kreis 8,Seefeld,competitors,1.0
ALDI SUISSE,"Witikonerstr. 279, 8053 Zürich, Schweiz",47.358630600000005,8.5854632,Kreis 8,Seefeld,competitors,1.0
EUROSPAR Albrecht Seefeld,"Olympiastraße 882, 6100 Seefeld in Tirol, Österreich",47.3295173,11.1844415,Kreis 8,Seefeld,competitors,1.0
Fooby,"Seefeldstrasse 9, 8008 Zürich, Schweiz",47.3646351,8.548644,Kreis 8,Seefeld,competitors,1.0
SPAR express Zürich Toblerplatz,"Toblerpl. 5, 8044 Zürich, Schweiz",47.37911,8.5597862,Kreis 8,Seefeld,competitors,0.3
EUROSPAR Supermarkt Bernina,"Schaffhauserstrasse 239, 8057 Zürich, Schweiz",47.4032176,8.5469741,Kreis 8,Seefeld,competitors,1.0
Spar Express Sihlquai,"Ausstellungsstrasse 10, 8005 Zürich, Schweiz",47.3812873,8.537764899999999,Kreis 8,Seefeld,competitors,0.3
Migros-Supermarkt - Zürich - Kreuzplatz,"Kreuzpl. 20, 8008 Zürich, Schweiz",47.3645128,8.5537736,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Limmatplatz,"Limmatstrasse 152, 8005 Zürich, Schweiz",47.385462999999994,8.531409199999999,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - City,"Löwenstrasse 31-35 2. und 3. OG, 8001 Zürich, Schweiz",47.375383199999995,8.5360797,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Toblerplatz,"Toblerstrasse 73, 8044 Zürich, Schweiz",47.3793079,8.5593843,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Hauptbahnhof,"Hauptbahnhof, 8001 Zürich, Schweiz",47.3781908,8.5404261,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Wiedikon M-Märt,"Birmensdorferstrasse 320, 8055 Zürich, Schweiz",47.3699559,8.508720799999999,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Puls 5 M-Express,"Hardturmstrasse 11, 8005 Zürich, Schweiz",47.391335999999995,8.518552999999999,Kreis 8,Mühlebach,migros_group,0.3
Migros-Supermarkt - Zürich - HB Sihlquai,"Sihlpassage, 8004 Zürich, Schweiz",47.378401499999995,8.535615,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Schmiede Wiedikon,"Birmensdorferstrasse 140, 8003 Zürich, Schweiz",47.3700773,8.520128399999999,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Wengihof,"Wengistrasse 7, 8004 Zürich, Schweiz",47.374941199999995,8.5230714,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Albisriederplatz,"Badenerstrasse 376, 8004 Zürich, Schweiz",47.3791051,8.5087542,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Burgwies,"Forchstrasse 260, 8008 Zürich, Schweiz",47.3576042,8.5716275,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Brunaupark,"BRUNAUPARK, Giesshübelstrasse 65, 8045 Zürich, Schweiz",47.358385899999995,8.517647199999999,Kreis 8,Mühlebach,migros_group,1.0
